Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
ML Ops Manager,IDP India,work from office,Chennai,5-8 Yrs,600000 - 1000000,You ll spend time on the following: In this  you will be collaborating with IDP s D...,Automation Manager Quality Assurance Data security Machine learning Data structures Deployment Python Technical documentation,30+ Days Ago,https:www.naukri.comjob-listings-ml-ops-manager-idp-india-5-to-8-years-231122504639
ML Ops Manager,IDP,work from office,Chennai,5-8 Yrs,600000 - 1000000,In this  you will be collaborating with IDP s Data Engineering and Governance an e...,Automation Manager Quality Assurance Data security Machine learning Data structures Deployment Python Technical documentation,30+ Days Ago,https:www.naukri.comjob-listings-ml-ops-manager-idp-education-india-pvt-ltd-5-to-8-years-111122500794
MLEMLOps Engineer,Tiger Analytics,work from office,Chennai,1-4 Yrs,600000 - 1000000,About the : We are lookinga Senior Analyst who will work on a broad range of c...,Senior Analyst Consulting Machine learning Manager Technology Silicon Data analytics Analytics ,30+ Days Ago,https:www.naukri.comjob-listings-mle-mlops-engineer-tiger-analytics-hyderabad-secunderabad-bangalore-bengaluru-1-to-4-years-270722501146
OpeningsAnalyst & Sr Analyst,Priffy,work from office,Chennai,3-10 Yrs,600000 - 1000000,Minimum of 3-10 years of hands-on work experience in Data Analytics People management s...,VBA Macro MS Excel Python Tableau Data Analytics MS PowerPoint Qlik Sense SQL,30+ Days Ago,https:www.naukri.comjob-listings-openings-for-Analyst-sr-Analyst-priffy-3-to-10-years-281122504147
PMO,2coms,work from office,Chennai,9-14 Yrs,600000 - 1000000,Bachelor s degree in EngineeringFinanceCommerce Input to Solutions Teamnew dea...,PMO ,14 Days Ago,https:www.naukri.comjob-listings-pmo-2coms-9-to-14-years-161222905719?src=jobsearchDesk&sid=16724062203125779_28&xp=18&px=12&nignbevent_src=jobsearchDeskGNB
Power BISAP HANA Developer - PythonData Modeling,Career Infosystem,work from office,Chennai,4-8 Yrs,600000 - 1000000,Design effective layouts and wireframes catering to customer needs to ensure optimal us...,Python Airflow SAP HANA Power BI Pandas BI Data models DAX calculations Azure Cloud Services,1 Day Ago,https:www.naukri.comjob-listings-power-bi-sap-hana-developer-python-Data-modeling-career-infosystem-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-4-to-8-years-291222906326
Production Planning Professional,Capgemini,work from office,Chennai,4-6 Yrs,600000 - 1000000,Run scenarios and revise plans daily as and when required to manage exceptionsEngineeri...,Production Planning cause analysis communication Root cause analysis advanced analytics Labour management Data science Supply chain operations,8 Days Ago,https:www.naukri.comjob-listings-production-planning-professional-capgemini-technology-services-india-limited-4-to-6-years-221222910241
Salesforce Data Analyst,Efuturesoft,work from office,Chennai,4-8 Yrs,600000 - 1000000,Added advantage will be experience with any programming languages such as .NET C# and V...,Databases integration VB ASP CSS Salesforce AJAX SQL,30+ Days Ago,https:www.naukri.comjob-listings-salesforce-Data-Analyst-futuresoft-india-4-to-8-years-291221500906
SAP EWM - Business Analyst Specialist,Flowserve,work from office,Chennai,8-10 Yrs,600000 - 1000000,Extract required Data from ERP or other IT systemsShould possess high level of affinity...,SAP BPC ERP Data analysis Publishing Reporting services Oracle MS Office Individual Contributor,30+ Days Ago,https:www.naukri.comjob-listings-sap-ewm-Business-Analyst-specialist-flowserve-corporation-pvt-ltd-8-to-10-years-121022500539
SAP Hana Data Analyst,Anicalls,work from office,Chennai,5-10 Yrs,600000 - 1000000,Candidate should be able to: Participate in meetings with users project managers and ...,SAP Business analysis Workflow Business rules Data Analyst Informatica Oracle Data warehousing,30+ Days Ago,https:www.naukri.comjob-listings-sap-hana-Data-Analyst-anicalls-5-to-10-years-250322500924
SAS Analyst - KPO Consulting Firm,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Masters degree in Management Finance Mathematics Statistics Operations Top Tier Man...,SAS statistical techniques regression SAS Analytics Data Modeling Data Analytics,17 Days Ago,https:www.naukri.comjob-listings-sas-Analyst-kpo-consulting-firm-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-2-years-121222909923
Senior Analyst - Data Science,Tiger Analytics,work from office,Chennai,0-4 Yrs,600000 - 1000000,A passionwriting high-quality code (Python) and the code should be modular scalab...,Data science Process documentation Senior Analyst Analytical Consulting Machine learning Silicon Data analytics,16 Days Ago,https:www.naukri.comjob-listings-senior-Analyst-Data-science-tiger-analytics-0-to-4-years-141222502588
Senior Analyst - Referential Data,Societe Generale,work from office,Chennai,2-3 Yrs,600000 - 1000000,Ensure delivery excellence (Productivity: 100% Quality: 100% TAT: No misses) and consi...,M S Office Word PowerPoint analytical written Excel communication RPA,30+ Days Ago,https:www.naukri.comjob-listings-senior-Analyst-referential-Data-societe-generale-global-solution-centre-2-to-3-years-181022500518
Senior Analyst-Lending Operations,Accenture,work from office,Chennai,5-8 Yrs,600000 - 1000000,Combining unmatched experience and specialized skills across more than 40 industries w...,Wholesale banking Succession planning Capital market Financial services Data entry Business administration Data analytics Core banking,9 Days Ago,https:www.naukri.comjob-listings-senior-Analyst-lending-operations-accenture-solutions-pvt-ltd-5-to-8-years-211222910206
Senior Business Data Analyst,Anicalls,work from office,Chennai,5-10 Yrs,600000 - 1000000,Education: Bachelors degree Minimum of 5 years of experience in the Business environmen...,Ticketing Version control Business Data Analyst Analytical MySQL Workflow Data Analyst Adobe,30+ Days Ago,https:www.naukri.comjob-listings-senior-Business-Data-Analyst-anicalls-5-to-10-years-260322501095
Senior Clinical Data Programmer,ICON plc,Hybrid,Chennai,2-6 Yrs,600000 - 1000000,Create and maintain study documentation as required in accordance with Standard Operat...,metaData Data management Test scripts Talent acquisition Process improvement Pharma SAS Programming Manager Quality Control,30+ Days Ago,https:www.naukri.comjob-listings-senior-clinical-Data-programmer-icon-clinical-research-india-private-limited-trivandrum-thiruvananthapuram-2-to-6-years-271022501583
Senior Clinical Data Programmer,Icon Plc,Hybrid,Chennai,3-8 Yrs,600000 - 1000000,Create and maintain study documentation as required in accordance with ICON Standard O...,metaData Data management Test scripts Talent acquisition Process improvement Pharma SAS Programming Manager Quality Control,30+ Days Ago,https:www.naukri.comjob-listings-senior-clinical-Data-programmer-icon-pharmaceutical-s-trivandrum-thiruvananthapuram-3-to-8-years-271022500484
Senior Data Analyst,Avtar The Power Of Diversity,work from office,Chennai,4-5 Yrs,600000 - 1000000,5 years experience,SAN French PDF Data science Data management Data Analyst SQL Python,30+ Days Ago,https:www.naukri.comjob-listings-senior-Data-Analyst-avtar-the-power-of-diversity-4-to-5-years-041122501972
Senior Data Analyst,Inspire Careers,work from office,Chennai,5-7 Yrs,600000 - 1000000,Ability to evaluate requests investigate get required Data analyze and provide resu...,Analytical Postgresql MySQL Schema Data processing Wellness AnalyticsProduct Marketing,30+ Days Ago,https:www.naukri.comjob-listings-senior-Data-Analyst-inspire-careers-5-to-7-years-220922501869
Senior Data Engineer - ETL,Tiger Analytics,work from office,Chennai,8-13 Yrs,600000 - 1000000,A passionwriting high-quality code (Python) and experience in Unix shell scripting...,Data analysis Architecture devops Consulting Integration testing UAT Mentor Deployment,30+ Days Ago,https:www.naukri.comjob-listings-senior-Data-engineer-etl-tiger-analytics-hyderabad-secunderabad-8-to-13-years-181122502246
Senior Data Engineer - Power BI,Tiger Analytics,work from office,Chennai,7-12 Yrs,600000 - 1000000,Adept understanding of any of the cloud services is preferred (Azure)7+ years of experi...,Performance tuning Data science Analytical Consulting power bi Silicon Data analytics Unit testing,30+ Days Ago,https:www.naukri.comjob-listings-senior-Data-engineer-power-bi-tiger-analytics-hyderabad-secunderabad-7-to-12-years-221022500690
Senior Data Science Manager,Inspire Careers,work from office,Chennai,5-10 Yrs,600000 - 1000000,5 years of experience in delivering scalable machine learning-based solutions in a big ...,Data analysis Data science Debugging Machine learning Conceptualization Continuous improvement Monitoring SQL,30+ Days Ago,https:www.naukri.comjob-listings-senior-Data-science-manager-inspire-careers-5-to-10-years-220922501871
Senior Data Scientist,Tredence,Hybrid,Chennai,4-7 Yrs,600000 - 1000000,Bachelors or Masters degree in a quantitative field (CS machine learning mathematics...,Data analysis Data management Analytical Machine learning Data structures Predictive modeling Troubleshooting Data mining,11 Days Ago,https:www.naukri.comjob-listings-senior-Data-scientist-tredence-analytics-solutions-private-limited-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-191222501362
Senior Data Scientist - RPython,Career Infosystem,work from office,Chennai,4-8 Yrs,600000 - 1000000,Team with strong pedagogy : from IIT NIT IIM and other leading institutes in India an...,Python VBA R SQL analytical Data science Data Analysts solutioning design,6 Days Ago,https:www.naukri.comjob-listings-senior-Data-scientist-r-python-career-infosystem-4-to-8-years-231222910697
Senior Data Scientist - RPython,Career Infosystem,work from office,Chennai,4-8 Yrs,600000 - 1000000,Team with strong pedagogy : from IIT NIT IIM and other leading institutes in India an...,Python Data Science R Mathematical Modeling VBA Data Scientist Time Series Forecasting Statistical Modeling,Just Now,https:www.naukri.comjob-listings-senior-Data-scientist-r-python-career-infosystem-4-to-8-years-301222909729
Senior Data Scientist - RPython,Career Infosystem,work from office,Chennai,4-8 Yrs,600000 - 1000000,Team with strong pedagogy : from IIT NIT IIM and other leading institutes in India an...,Python analytical VBA R SQL Data Science Mathematical Modeling Data Scientist,2 Days Ago,https:www.naukri.comjob-listings-senior-Data-scientist-r-python-career-infosystem-4-to-8-years-281222906109
Senior Data Scientist | GeakMinds |Chennai,Geak Minds,Temp.WFH,Chennai,4-8 Yrs,600000 - 1000000,Employment: Full time Qualification: Any Graduate Experience working in at least one of...,Machine Learning Python Power BI Tableau Data mining Azure AWS GCP,22 Days Ago,https:www.naukri.comjob-listings-senior-Data-scientist-geakminds-geakminds-technologies-private-limited-4-to-8-years-071222013551
Senior Manager,EXL,work from office,Chennai,7-13 Yrs,600000 - 1000000,Proficiency in MS SQL Report creation and MSBI stack (SSMS SSIS) Experience in handli...,Tableau performance tuning analytical Data analysis written communication MSSQL SSIS MSBI,30+ Days Ago,https:www.naukri.comjob-listings-senior-manager-exl-services-com-i-pvt-ltd-7-to-13-years-161122501408
Senior NLP Engineer - Computer VisionMachine Learning,Hyring Ninja,work from office,Chennai,3-8 Yrs,600000 - 1000000,Hand on experience with machine learning techniques such as deep neural nets (DNN CNN...,Machine Learning XGBoost LSTM NLP CNN scikit SVM Pytorch Keras,30 Days Ago,https:www.naukri.comjob-listings-senior-nlp-engineer-computer-vision-machine-learning-hyring-ninja-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-301122911804
Senior Process Data Engineer,Shell,work from office,Chennai,6-8 Yrs,600000 - 1000000,of industrialfield experience in rotating machinery operation and maintenanceengi...,machine drawings technologies rotating machinery operation EBS Data Analysis engineering instrument drawings maintenance,29 Days Ago,https:www.naukri.comjob-listings-senior-process-Data-engineer-shell-india-markets-private-limited-6-to-8-years-161122914733
Senior Process Data Engineer-1,Shell,work from office,Chennai,5-10 Yrs,600000 - 1000000,The The new SEAM organization integrates Safety Environment & Asset Management act...,Data Engineering SAP PM Module plant maintenance Maximo EAM maintenance management heat exchangers design engineering centrifugal pumps,29 Days Ago,https:www.naukri.comjob-listings-senior-process-Data-engineer-1-shell-india-markets-private-limited-5-to-10-years-171122911192
Senior Process Data Engineer-4,Shell,work from office,Chennai,5-8 Yrs,600000 - 1000000,The  will involve working in shifts (AfternoonEveningLate Evening Shifts) to ha...,Data Engineering SAP PM RDU Data analysis Flange management contracts management document management Operations,29 Days Ago,https:www.naukri.comjob-listings-senior-process-Data-engineer-4-shell-india-markets-private-limited-5-to-8-years-171122908712
Senior Statistical Programmer II,Agati Systems,work from office,Chennai,3-6 Yrs,600000 - 1000000,Familiar with CDISC standards SDTM and ADaM Data models and hands on experience in imp...,CRO Data analysis SAS Technical writing Pharma XML Clinical trials Manager Quality Control,30+ Days Ago,https:www.naukri.comjob-listings-senior-statistical-programmer-ii-agati-clinical-informatics-llp-bangalore-bengaluru-3-to-6-years-150722502660
SoftwareSenior Software Engineer,ICU Medical,work from office,Chennai,3-5 Yrs,600000 - 1000000,Working experience with languages SQL and Python is a must Good knowledge in Data minin...,Computer science Data analysis Office equipment Planning coordination Data Analyst Data mining Analytics Monitoring,30+ Days Ago,https:www.naukri.comjob-listings-software-senior-software-engineer-icu-medical-3-to-5-years-231122505187
Speech & Text Analytics Engineer DataScience,Anicalls,work from office,Chennai,5-10 Yrs,600000 - 1000000,Candidate should be able to: - Build text-based search engine and question answering sy...,IT Skills Machine Learning Unix Text mining deep learning Data science Data processing Data structures,30+ Days Ago,https:www.naukri.comjob-listings-speech-text-analytics-engineer-Data-science-anicalls-5-to-10-years-280322500092
Sr Clinical Data Programmer,Icon Plc,Hybrid,Chennai,3-8 Yrs,600000 - 1000000,Create and maintain study documentation as required in accordance with ICON Standard O...,metaData Data management Test scripts Talent acquisition Process improvement Pharma SAS Programming Manager Quality Control,30+ Days Ago,https:www.naukri.comjob-listings-sr-clinical-Data-programmer-icon-pharmaceutical-s-trivandrum-thiruvananthapuram-3-to-8-years-041122501632
Sr Clinical Data Programmer,ICON plc,Hybrid,Chennai,2-6 Yrs,600000 - 1000000,Create and maintain study documentation as required in accordance with ICON Standard O...,metaData Data management Test scripts Talent acquisition Process improvement Pharma SAS Programming Manager Quality Control,30+ Days Ago,https:www.naukri.comjob-listings-sr-clinical-Data-programmer-icon-clinical-research-india-private-limited-trivandrum-thiruvananthapuram-2-to-6-years-041122500763
Sr Data Analytics Consultant,ARA Resources pvt ltd,work from office,Chennai,5-7 Yrs,600000 - 1000000,Bachelors MAMSc College Degree or Higher in applied mathematics statistics engine...,Data Analysis Data integration SAS Data warehouses SQL verbal communication written Database structures,7 Days Ago,https:www.naukri.comjob-listings-sr-Data-analytics-consultant-ara-resources-pvt-ltd-hyderabad-secunderabad-5-to-7-years-221222912565
Sr. Business Analyst,Technogen Inc,work from office,Chennai,5-8 Yrs,600000 - 1000000,Dig deeper to the problems rather than superficial requirement documentation - so as to...,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio,30+ Days Ago,https:www.naukri.comjob-listings-sr-Business-Analyst-technogen-inc-5-to-8-years-221122501587
Sr. OfficerAssistant Manager Data Analytics,RSM,work from office,Chennai,2-4 Yrs,600000 - 1000000,Must have the knowledge to handledesignoptimize complex ETL using Power BISQLGoo...,Data analysis Assurance Manager Quality Assurance cyber security Data processing Data quality Data visualization Information technology,30+ Days Ago,https:www.naukri.comjob-listings-sr-officer-assistant-manager-Data-analytics-rsm-kolkata-mumbai-gandhidham-bangalore-bengaluru-2-to-4-years-060622501133
Statistician Senior Statistician,Mindtree,work from office,Chennai,3-10 Yrs,600000 - 1000000,We are lookingstrong working experience in preparing statistical reports analytic...,Python R programming Data modeling Analytical Regression analysis Data visualization Econometrics Statistics,3 Days Ago,https:www.naukri.comjob-listings-statistician-senior-statistician-mindtree-limited-3-to-10-years-271222500183
Data Scientist - Machine Learning Artificial Intelligence,Zorba Consulting India Pvt. Ltd.,work from office,Chennai,2-5 Yrs,600000 - 1000000,Hands on experience on supervised and unsupervised machine learning techniques Extensiv...,UX Infographics Illustrator Animation Photoshop R Hive SAS,30+ Days Ago,https:www.naukri.comjob-listings-zorba-Data-scientist-machine-learning-artificial-intelligence-zorba-consulting-india-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-2-to-5-years-291122909576
Data Analysis ( Tableau and python experts ) ,corp Finance,Hybrid,Chennai,8-12 Yrs,1000000 - 1500000,Become a SME in the team understand Business requirement and translate it into executa...,Tableau Python sql Business Intelligence Data Management Data Analysis Analysts Business Analysis,7 Days Ago,https:www.naukri.comjob-listings-hiring-for-Data-analysis-tableau-and-python-experts--corp-finance-bangalore-bengaluru-8-to-12-years-231222007192
Data Analyst - Remediation Analyst,corp Finance,Hybrid,Chennai,4-9 Yrs,1000000 - 1500000,Greetings from corp!!!Hope you are doing great & safe.We have anat Che...,SAS Reporting Root Cause Analysis Remediation analysis Data Management Data Analysis Remediation Issue Management,29 Days Ago,https:www.naukri.comjob-listings-hiring-for-Data-Analyst-remediation-Analyst-corp-finance-4-to-9-years-011222005442
Data Analyst  ,NTT Data Business Solutions Private Limited,Hybrid,Chennai,5-10 Yrs,1000000 - 1500000,Hands-on application of Postgres SQL outside of classcertification courseXML skills ...,Data Anlalytics Postgresql Data Analysis Postgres SQL XML communication Analytical SQL,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-tech-mahindra-tech-mahindra-ltd-kolkata-hyderabad-secunderabad-pune-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-151122000164
 Analytics consultant ,Randstad India Private Limited,Hybrid,Chennai,8-10 Yrs,1000000 - 1500000,Flexible to work in shiftsMasters degree in computer science information systems fina...,SQL Data analytics SSRS Tableau Reporting JIRA SSIS automation reporting,25 Days Ago,https:www.naukri.comjob-listings-hiring-analytics-consultant-location-randstad-india-private-limited-8-to-10-years-260922001083
Leading ITESManager,Enrich And Enlight Business Consulting,work from office,Chennai,3-6 Yrs,1000000 - 1500000,Dear Professional Enrich & Enlight is an Executive Search Consulting co specializing i...,SAS Data Analysis Analytics Credit Card Financial Services Fraud Statergey,24 Days Ago,https:www.naukri.comjob-listings-opportunity-with-leading-ites-for-manager-portfolio-credit-wfh-enrich-and-enlight-Business-consulting-hyderabad-secunderabad-bangalore-bengaluru-3-to-6-years-061222005944
Product control support Risk Analytics ,Randstad India Private Limited,Hybrid,Chennai,6-10 Yrs,1000000 - 1500000,Dear Candidate Interested candidates please share profile to poonam.bihani@wellsfargo....,Data analysis power bi sql Sql Programming Business AnalyticsProduct control support Tableau Data Analyst,25 Days Ago,https:www.naukri.comjob-listings-hiring-product-control-support-risk-analytics-location-randstad-india-private-limited-6-to-10-years-060922009756
Abinitio Developer,Wipro,work from office,Chennai,4-7 Yrs,1000000 - 1500000,s and Responsibilities 1. Strong & Hands-on development experience with various Ab ...,GDE PL SQL Unix shell scripting Data analysis ETL Data warehousing Ab Initio Conduct>It,29 Days Ago,https:www.naukri.comjob-listings-abinitio-developer-wipro-hyderabad-secunderabad-pune-bangalore-bengaluru-4-to-7-years-221122008152
Analyst,Shell Pvt Ltd,work from office,Chennai,3-7 Yrs,1000000 - 1500000,Works autonomously within this scope with regular steer required e.g,Analyst HP Data protector Representative Management Supervision Recruitment,20 Days Ago,https:www.naukri.comjob-listings-Analyst-shell-pvt-ltd-3-to-7-years-091222501188
Analyst ,Hoffmann-La Roche,work from office,Chennai,1-5 Yrs,1000000 - 1500000,Highly motivated learning oriented and quality focused individuals would be preferredK...,Analytical skills Data analysis SAS Pharma Consulting Healthcare big Data Analytics,7 Days Ago,https:www.naukri.comjob-listings-Analyst-hoffmann-la-roche-1-to-5-years-221222501594
Analytics Consultant,Wells Fargo,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Flexibility to work from home and meet the home eligibility assessment conditions base...,Data analysis Manager Quality Assurance SAS Data management Troubleshooting Oracle Analytics Financial services,28 Days Ago,https:www.naukri.comjob-listings-analytics-consultant-wells-fargo-india-solutions-pvt-ltd-hyderabad-secunderabad-3-to-8-years-021222500811
Analytics Consultant,Wells Fargo,work from office,Chennai,5-7 Yrs,1000000 - 1500000,Partnering with ECO Issue Management teams to ensure Data analytic needs are met. These...,Relationship management Data analysis Automation Data validation Data management Oracle Continuous improvement Operations,30+ Days Ago,https:www.naukri.comjob-listings-analytics-consultant-wells-fargo-india-solutions-pvt-ltd-5-to-7-years-031022500128
 Assistant Manager Lead Assistant Manager,Huquo Consulting Pvt. Ltd,work from office,Chennai,2-7 Yrs,1000000 - 1500000,Project requires an understanding of banking domain and candidates should be able to qu...,SAS Data Analytics Analytics Python Banking Data Analyst,30 Days Ago,https:www.naukri.comjob-listings-assistant-manager-lead-assistant-manager-manager-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-2-to-7-years-301122906526
Assistant Manager Senior Manager - Credit Risk Strategy,Huquo Consulting Pvt. Ltd,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Perform other related duties as required and assigned Excellent SQL or SAS skills: exte...,SAS Statistics Analytics SQL Risk Analytics Data analysis Underwriting Credit risk,30 Days Ago,https:www.naukri.comjob-listings-assistant-manager-senior-manager-credit-risk-strategy-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-3-to-8-years-301122906518
Assistant Manager Senior Manager - Credit Risk Strategy,Huquo Consulting Pvt. Ltd,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Perform other related duties as required and assigned Excellent SQL or SAS skills: exte...,Credit Risk Strategy SAS Risk Analytics Consulting BFSI Statistics Analytics SQL ,23 Days Ago,https:www.naukri.comjob-listings-assistant-manager-senior-manager-credit-risk-strategy-huquo-consulting-pvt-ltd-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-071222911528
Associate Manager (Technology Consultant Team Lead),Tredence,Hybrid,Chennai,3-7 Yrs,1000000 - 1500000,Past experience of working with clickstream Data Preferred Bachelors degree Preferred M...,Data analysis Excel Data management Db2 MySQL Machine learning TeraData Data mining,30+ Days Ago,https:www.naukri.comjob-listings-associate-manager-technology-consultant-team-lead-tredence-analytics-solutions-private-limited-gurgaon-gurugram-bangalore-bengaluru-3-to-7-years-280922501548
Audit Reporting and Analytics Analyst,The Depository Trust amp; Clearing Corporation (DTCC),work from office,Chennai,2-5 Yrs,1000000 - 1500000,Minimum of 1 year related experience with Databasesreporting ETL Data analysis re...,Data analysis Manager Internal Audit Automation Analytical microsoft Continuous improvement Analytics Financial services,30+ Days Ago,https:www.naukri.comjob-listings-audit-reporting-and-analytics-Analyst-the-depository-trust-amp-clearing-corporation-dtcc-2-to-5-years-151122501080
AVAP Agile Information Systems - Data Scientist - RSQLPython,AVAP Agile,work from office,Chennai,3-8 Yrs,1000000 - 1500000,A masters degree within either engineering physics IT mathematicsstatistics meteoro...,Python Data Science R Linux Data Scientist Data Management Perl SQL,30+ Days Ago,https:www.naukri.comjob-listings-avap-agile-information-systems-Data-scientist-r-sql-python-avap-agile-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-3-to-8-years-281122907280
BA Risk Compliance + SQL,Rarr Technologies,work from office,"Chennai, Coimbatore ",5-14 Yrs,1000000 - 1500000,5+ years of overall experience as Business Analyst. Strong analytical profile with work...,FRD analytical Data Analysis SDLC communications UAT SQL Business Analytics,30+ Days Ago,https:www.naukri.comjob-listings-ba-risk-compliance-sql-rarr-technologies-kolkata-mumbai-hyderabad-secunderabad-pune-coimbatore-bangalore-bengaluru-5-to-14-years-260922501488
BI Engineer I,Fourkites,work from office,Chennai,3-5 Yrs,1000000 - 1500000,5 years experience as a Sisense developer with industry experience is preferredMust Hav...,Microstrategy Performance tuning Automation Data analysis GCP Data quality TeraData Data mining,30+ Days Ago,https:www.naukri.comjob-listings-bi-engineer-i-fourkites-3-to-5-years-130722500201
Business Analyst,Mindtree,work from office,Chennai,4-9 Yrs,1000000 - 1500000,We are Lookinga BA PFB the detailed Job Description: Basic knowledge on Airline T...,ticketing gds Business analysis agile travel Data analysis pnr big Data,30+ Days Ago,https:www.naukri.comjob-listings-Business-Analyst-mindtree-pune-bangalore-bengaluru-4-to-9-years-241122005142
Business Analyst (AECC),Studyreach,work from office,Chennai,3-5 Yrs,1000000 - 1500000,Have proven experience in eling requirements and testing Have experience in analyzi...,Data analysis Manager Quality Assurance Business Analyst Business analysis Technical writing Process documentation Data visualization Operations,11 Days Ago,https:www.naukri.comjob-listings-Business-Analyst-aecc-studyreach-3-to-5-years-191222501335
Business Analyst (Retail Banking+SQL),CliqHR Recruitment Services,work from office,Chennai,6-11 Yrs,1000000 - 1500000,Good experience on SQL queries Prior Genesis experience is nice to haveExperience in cr...,Finance Data warehousing SQL queries communication Software Development Life Cycle Data warehousing Loans Project implementation Business Analyst,10 Days Ago,https:www.naukri.comjob-listings-Business-Analyst-retail-banking-sql-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-6-to-11-years-201222911489
Business Data Analyst - GOOGLE ANALYTICS,Lennox India Technology Centre (LITC),work from office,Chennai,5-7 Yrs,1000000 - 1500000,Any Graduate with 3-5 years of relevant work experience in Google Have experience in im...,Google Analytics Business Data Analyst digital Analyst ,30+ Days Ago,https:www.naukri.comjob-listings-Business-Data-Analyst-google-analytics-lennox-india-technology-centre-private-limited-5-to-7-years-290622501097
Campaign Management Analytics ,Huquo Consulting Pvt. Ltd,work from office,Chennai,3-8 Yrs,1000000 - 1500000,#NAME?,Campaign Management Analytics Statistical analysis Performance analysis Analytics,14 Days Ago,https:www.naukri.comjob-listings-campaign-management-analytics--huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-161222905633
Campaign Management Analytics ,Huquo Consulting,work from office,Chennai,3-8 Yrs,1000000 - 1500000,#NAME?,Campaign Management Marketing SAS Analytics skills statistical analysis sales performance analysis ,30+ Days Ago,https:www.naukri.comjob-listings-campaign-management-analytics--huquo-consulting-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-bangalore-bengaluru-delhi-ncr-3-to-8-years-281122911183
CI Analyst,Hoffmann-La Roche,work from office,Chennai,1-2 Yrs,1000000 - 1500000,Work with the stakeholders and peers in developing competitors profiles track their pe...,Data analysis Business research Social media Clinical trials Healthcare Competitive intelligence Life sciences Analytics,1 Day Ago,https:www.naukri.comjob-listings-ci-Analyst-hoffmann-la-roche-hyderabad-secunderabad-1-to-2-years-291222501239
Consultant Manager - Deep Learning NLP - Data Science,PYLON Management Consulting Private Limited,work from office,Chennai,5-10 Yrs,1000000 - 1500000,Good understanding of how to apply predictive and machine learning techniques like logi...,Data Science NLP Python SQL SVM RNN Azure LSTM,30+ Days Ago,https:www.naukri.comjob-listings-consultant-am-manager-deep-learning-nlp-Data-science-pylon-management-consulting-private-limited-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-5-to-10-years-141122908564
CP Specialist,Shell Pvt Ltd,work from office,Chennai,3-6 Yrs,1000000 - 1500000,Works autonomously within this scope with regular steer required eg Technical engineer...,Procurement Supply chain Root cause analysis HP Data protector Analytical Data quality Representative Continuous improvement,Just Now,https:www.naukri.comjob-listings-cp-specialist-shell-pvt-ltd-3-to-6-years-301222501199
Data Analyst,ResourceTree Global Services,work from office,Chennai,5-6 Yrs,1000000 - 1500000,Required Skills & Experience: - Bachelors Degree in Engineering Computer Science or re...,Data Analysis Azure PowerBI XML Javascript JSON Tableau AWS,28 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-resourcetree-global-services-bangalore-bengaluru-5-to-6-years-021222905734
Data Analyst,3i Infotech,Hybrid,Chennai,5-10 Yrs,1000000 - 1500000,Any experience in handling reporting packages like Business Objects programming (Javas...,python Tableau Spark GIT Java SPSS R Oracle,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-3i-infotech-5-to-10-years-231122604973
Data Analyst - Data Visualization & Reporting,Global Employees,Temp.WFH,Chennai,5-10 Yrs,1000000 - 1500000,build solutions to have the maximum scale and self-service ability by partners Must be ...,Data Visualization Data Analytics vlookup Tableau communication Advanced Excel SQL analytical,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-Data-visualization-reporting-global-employees-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-5-to-10-years-281122906981
