Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Data Labeler,Yubi,work from office,Chennai,2-5 Yrs,300000 - 600000,Must be curious hardworking and detail-oriented and motivated by complex analytical p...,Supply chain Loans Health insurance Analytical Machine learning Data collection Healthcare Scheduling,30+ Days Ago,https:www.naukri.comjob-listings-Data-labeler-yubi-2-to-5-years-080922500401
Data Modeler Business System Analyst,Mr Cooper,work from office,Chennai,1-5 Yrs,300000 - 600000,Experience in Understanding Business requirement and translating them in to the detaile...,Business System Analyst Warehouse TranslationProduct portfolio Diversity and Inclusion Agile methodology Information technology Data warehousing,30+ Days Ago,https:www.naukri.comjob-listings-Data-modeler-Business-system-Analyst-mr-cooper-1-to-5-years-180822501849
Data Processing Analyst,Integrated Personnel Services,work from office,Chennai,1-5 Yrs,300000 - 600000,Experience - 1-6 Years Good communication skills,Quantum Data processing spss communication ASCII Excel MRDCL ,30+ Days Ago,https:www.naukri.comjob-listings-Data-processing-Analyst-integrated-personnel-services-bangalore-bengaluru-mumbai-all-areas-1-to-5-years-291122006934
Data Science,Mr Cooper,work from office,Chennai,4-9 Yrs,300000 - 600000,Collaborate with stakeholders Business unitProduct owners development teams to under...,Data analysis tableau Data science Diversity and Inclusion Cloud Relationship Programming Information technology,30+ Days Ago,https:www.naukri.comjob-listings-Data-science-mr-cooper-4-to-9-years-080922500758
Data Scientist,Kovai Systems India,work from office,Coimbatore,1-2 Yrs,300000 - 600000,Exposure to cloud technology is preferred (Azure) Proven working experience of 1-2 year...,Azure ML analytical JuPyteR Azure verbal written communication SQL Tensorflow,2 Days Ago,https:www.naukri.comjob-listings-Data-scientist-kovai-systems-india-private-limited-coimbatore-1-to-2-years-281222502059
Data Scientist,Kripya Solutions,work from office,Chennai,2-6 Yrs,300000 - 600000,We are a rapidly expanding team building world-class IoT and AI-driven analytics platfo...,python Power Bi MySQL machine learning Apache Superset deep learning NoSQL pytorch,8 Days Ago,https:www.naukri.comjob-listings-Data-scientist-kripya-solutions-2-to-6-years-221222005850
Data Scientist,SAM Manpower amp; Career Services LLP,work from office,Chennai,3-6 Yrs,300000 - 600000,Practical knowledge of applying statistics and probability - Identifying suitable appro...,NoSQL Linux Business analysis Neural networks Machine learning Data structures Calculus Business intelligence,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-sam-manpower-amp-career-services-llp-bangalore-bengaluru-3-to-6-years-131022501430
Data Scientist,Isha Foundation,work from office,Coimbatore,2-3 Yrs,300000 - 600000,Prepare a summary of resultsin-house discussion and take feedback wheneverwhere...,Data analysis SAS SQL Analytical Business Economics Machine learning power bi model development Predictive modeling,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-isha-foundation-coimbatore-2-to-3-years-080822500555
Data Scientist 1,Xoom,work from office,Chennai,3-4 Yrs,300000 - 600000,As a Data Scientist you will apply your strategic and analytical skills to major compa...,Statistical programming Analytical skills Manager Program Management SAS R Continuous improvement Design analysis Analytics Financial services,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-1-xoom-inc-3-to-4-years-141122500308
Databricks Sp spark Developer,Gainwell Technologies,Hybrid,Chennai,4-9 Yrs,300000 - 600000,Summary:Designs implements and maintains Database structures in a client server envir...,pyspark Databricks tableau analytical Agile communication MySQL MS SQL,11 Days Ago,https:www.naukri.comjob-listings-Databricks-spspark-developer-gainwell-technologies-bangalore-bengaluru-4-to-9-years-181222002115
Digital Analytical Analyst,IDP India,work from office,Chennai,3-4 Yrs,300000 - 600000,Proficient in popular web analytic tools such as Google analytics Have good experience ...,Data analysis Google Analytics digital content Analytical Agile Data visualization Data mining Digital Marketing,30+ Days Ago,https:www.naukri.comjob-listings-digital-analytical-Analyst-idp-india-3-to-4-years-231122504619
Digital Analytical Analyst,IDP,work from office,Chennai,3-4 Yrs,300000 - 600000,Proficient in popular web analytic tools such as Google analytics Have good experience ...,Data analysis Google Analytics digital content Analytical Agile Data visualization Data mining Digital Marketing,30+ Days Ago,https:www.naukri.comjob-listings-digital-analytical-Analyst-idp-education-india-pvt-ltd-3-to-4-years-070922500339
EA APM Analyst,Renault,work from office,Chennai,3-8 Yrs,300000 - 600000,Functional Architecture experience (formalisation of Business purposesneeds applica...,Mining Data analysis metaData French Data management Business analysis UML Configuration management,30+ Days Ago,https:www.naukri.comjob-listings-ea-apm-Analyst-renault-india-pvt-ltd-3-to-8-years-011122501500
Engineer Data Analyst,Valeo,work from office,Chennai,1-4 Yrs,300000 - 600000,Use java UDF Beam scripts to batch process or to stream the Data Develop creative and ...,Text mining PDF Data quality Natural language processing Data mining Information technology SQL Data extraction,30+ Days Ago,https:www.naukri.comjob-listings-engineer-Data-Analyst-valeo-india-pvt-ltd-1-to-4-years-151022501971
